縣市,鄉鎮市區,SD_S,SD_1,SM_S,SM_1,臨近之斷層
臺中市,大雅區,0.80,0.45,1.00,0.55,屯子腳斷層、三義斷層、大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段
臺中市,新社區,0.80,0.45,1.00,0.55,屯子腳斷層、三義斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,石岡區,0.80,0.45,1.00,0.55,屯子腳斷層、三義斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,外埔區,0.80,0.45,1.00,0.55,屯子腳斷層、三義斷層、大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段
臺中市,大安區,0.80,0.45,1.00,0.55,屯子腳斷層、大甲斷層全段、鐵砧山斷層、彰化斷層
臺中市,烏日區,0.80,0.45,1.00,0.55,大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段
臺中市,大肚區,0.80,0.45,1.00,0.55,大甲斷層全段、鐵砧山斷層、彰化斷層
臺中市,龍井區,0.80,0.45,1.00,0.55,屯子腳斷層、大甲斷層全段、鐵砧山斷層、彰化斷層
臺中市,霧峰區,0.80,0.45,1.00,0.55,大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,太平區,0.80,0.45,1.00,0.55,三義斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,大里區,0.80,0.45,1.00,0.55,大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,和平區,0.70,0.40,0.90,0.50,車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,中區,0.80,0.45,1.00,0.55,三義斷層、大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,東區,0.80,0.45,1.00,0.55,三義斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,南區,0.80,0.45,1.00,0.55,大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段、大茅埔-雙冬斷層
臺中市,西區,0.80,0.45,1.00,0.55,三義斷層、大甲斷層全段、鐵砧山斷層、彰化斷層、車籠埔斷層全段、大茅埔-雙冬斷層
